LOJA;NOME;INAUGURACAO;AREA_LOJA;ENDERECO;CIDADE;UF;REGIAO;PAIS
PLAV-SP;Plaza Avenida Shopping;03/11/2016;984;Av. José Munia, 4775 - Shopping Plaza Avenida, Piso T;São José do Rio Preto;SP;Sudeste;BRASIL
TMBO-SP;Tamboré;26/11/2016;1.144;Alameda Araguaia, 2179 - Parte A, Junto À Kalunga;Barueri;SP;Sudeste;BRASIL
EPIA-DF;Brasília EPIA;08/12/2016;1.394;Epia Sul, , Lote 3;Brasília;DF;Centro-Oeste;BRASIL
BAUR-SP;Bauru;10/12/2016;1.364;Rua Rubens Pagani , 444;Bauru;SP;Sudeste;BRASIL
RPTO-SP;Carrefour Ribeirão Shopping;20/12/2016;1.137;Av. Coronel Fernando Ferreira Leite, 1540 - Ribeirão Shopping;Ribeirão Preto;SP;Sudeste;BRASIL
BAME-RJ;Barra Américas;16/02/2017;1.023;Av. Das Américas, 6571 - Lote 02 Pal 45164;Rio de Janeiro;RJ;Sudeste;BRASIL
PROT-RS;Protásio Alves;16/03/2017;1.916;Av. Protásio Alves, 4194 - Loja 2;Porto Alegre;RS;Sul;BRASIL
SVCT-SP;São Vicente;01/04/2017;1.087;Av. Antônio Emmerick, 23;São Vicente;SP;Sudeste;BRASIL
SMNA-PR;Seminário;04/05/2017;1.439;Av. Nossa Senhora Aparecida, 582;Curitiba;PR;Sul;BRASIL
ACST-SP;Santos Ana Costa;12/05/2017;986;Av. Ana Costa, 215;Santos;SP;Sudeste;BRASIL
PAMP-MG;Pampulha;18/05/2017;1.256;Av. Professor Magalhães Penido, 1000;Belo Horizonte;MG;Sudeste;BRASIL
ASAN-DF;Asa Norte;25/05/2017;1.520;St Stn, Conjunto D, Bloco2/B, S/N - Terminal Norte Conj D Bloco2/B;Brasília;DF;Centro-Oeste;BRASIL
MOIN-RS;Moinhos de Vento;14/06/2017;964;Rua Quintino Bocaiuva, 433;Porto Alegre;RS;Sul;BRASIL
ITAM-SP;Itaim;28/06/2017;1.211;Rua Bandeira Paulista, 982;São Paulo;SP;Sudeste;BRASIL
POMP-SP;Pompeia;26/07/2017;1.237;Av. Francisco Matarazzo, 2000 - Complexo Sp Mega Stores;São Paulo;SP;Sudeste;BRASIL
CTNO-SP;Center Norte;10/08/2017;233;Shopping Center Norte - Tv. Casalbuono, 120 - Alameda De Serviços;São Paulo;SP;Sudeste;BRASIL
CATU-PR;Catuai Londrina;19/08/2017;965;Rod. Mabio Gonçalves Palhano, 195 - Em Frente Ao Catuaí Shopping;Londrina;PR;Sul;BRASIL
MCNA-RJ;Extra Maracanã;04/10/2017;1.246;Rua José Higino, 115 - Dentro Do Extra Maracanã;Rio de Janeiro;RJ;Sudeste;BRASIL
JAPE-SP;Jacu Pêssego;29/10/2017;1.124;Av. Jacu Pêssego , 4710;São Paulo;SP;Sudeste;BRASIL
SCAR-SP;São Carlos;14/12/2017;921;Av. Francisco Pereira Lopes, 1701;São Carlos;SP;Sudeste;BRASIL
GPIR-SP;Giovanni Pirelli;19/12/2017;1.137;Rua Giovanni Battista Pirelli, 1645;Santo André;SP;Sudeste;BRASIL
PCBU-SP;Pacaembu;28/12/2017;697;Praça Charles Miller, 117;São Paulo;SP;Sudeste;BRASIL
